___,# Orgs,# IE,# People,Tracker,Start,Renewed,End,Mail archive,Q3 msgs,Q4 msgs,# TR 2 yrs,# CR/Rec 2 yrs,Last Rec
Spatial Data on the Web Working Group,5,0,2,http://www.w3.org/2015/spatial/track/,1/6/2015,,12/31/2016,http://lists.w3.org/Archives/Public/public-sdw-wg,,,,,
SVG Working Group,14,1,33,http://www.w3.org/Graphics/SVG/WG/track/,7/24/1998,7/27/1999,10/31/2016,http://lists.w3.org/Archives/Public/public-svg-wg,120,86,9,3,2011
System Applications Working Group,30,0,81,http://www.w3.org/2012/sysapps/track/,10/2/2012,,10/1/2014,http://lists.w3.org/Archives/Public/public-sysapps,40,82,7,0,
Timed Text Working Group,13,4,25,http://www.w3.org/AudioVideo/TT/tracker/,8/16/2008,2/8/2011,3/30/2016,http://lists.w3.org/Archives/Public/public-tt,317,264,4,2,2013
Tracking Protection Working Group,34,5,81,http://www.w3.org/2011/tracking-protection/track/,9/8/2011,2/13/2013,12/1/2016,http://lists.w3.org/Archives/Public/public-tracking,270,254,2,0,
User Agent Accessibility Guidelines Working Group,8,6,16,http://www.w3.org/WAI/UA/tracker/,12/1/1997,11/1/2000,9/30/2013,http://lists.w3.org/Archives/Public/w3c-wai-ua,114,97,2,0,2002
Voice Browser Working Group,20,4,25,https://www.w3.org/Voice/Group/track/,3/26/1999,9/25/2002,4/30/2015,http://lists.w3.org/Archives/Public/w3c-voice-wg,3,6,1,0,2011
Web Annotation Working Group,21,1,41,http://www.w3.org/annotation/track/,8/20/2014,,10/1/2016,http://lists.w3.org/Archives/Public/public-annotation,83,266,1,0,
Web Application Security Working Group,30,4,70,http://www.w3.org/2011/webappsec/track/,9/7/2011,10/24/2013,9/30/2014,http://lists.w3.org/Archives/Public/public-webappsec,451,906,7,1,2014
Web Applications Working Group,32,5,164,http://www.w3.org/2008/webapps/track/,6/9/2008,4/13/2009,7/31/2016,http://lists.w3.org/Archives/Public/public-webapps,653,644,30,10,2014
Web Content Accessibility Guidelines Working Group,35,34,103,http://www.w3.org/WAI/GL/track/,10/1/1997,11/1/2000,9/30/2013,http://lists.w3.org/Archives/Public/w3c-wai-gl,284,179,0,0,2008
Web Cryptography Working Group,31,9,78,http://www.w3.org/2012/webcrypto/track/,4/4/2012,9/23/2013,3/31/2015,http://lists.w3.org/Archives/Public/public-webcrypto,603,380,3,1,
Web Notification Working Group,12,0,16,,9/10/2010,1/29/2013,12/31/2013,http://lists.w3.org/Archives/Public/public-web-notification,0,4,1,0,
Web Performance Working Group,18,1,52,http://www.w3.org/2010/webperf/track/,8/18/2010,4/25/2011,5/31/2015,http://lists.w3.org/Archives/Public/public-web-perf,245,220,11,5,2013
Web Real-Time Communications Working Group,41,1,96,http://www.w3.org/2011/04/webrtc/track/,5/5/2011,3/6/2013,2/28/2015,http://lists.w3.org/Archives/Public/public-webrtc,137,385,6,0,
WebFonts Working Group,9,1,23,http://www.w3.org/Fonts/WG/track/,3/17/2010,5/29/2012,9/30/2012,http://lists.w3.org/Archives/Public/public-webfonts-wg/,93,84,2,0,2012
XML Core Working Group,7,3,10,,8/7/1996,9/1/1999,5/31/2015,http://lists.w3.org/Archives/Public/public-xml-core-wg,40,87,1,0,2010
XML Processing Model Working Group,6,3,11,,10/27/2005,10/15/2007,5/31/2016,http://lists.w3.org/Archives/Public/public-xml-processing-model-wg,32,107,3,0,2010
XML Query Working Group,11,6,23,,9/1/1999,9/19/2001,5/31/2015,http://lists.w3.org/Archives/Public/w3c-xml-query-wg,2,2,9,6,2014
XML Security Working Group,17,3,28,http://www.w3.org/2008/xmlsec/track/,5/19/2008,5/5/2010,12/31/2016,http://lists.w3.org/Archives/Public/public-xmlsec,10,13,15,3,2013
XSLT Working Group,7,10,19,,(announced 1998-01-30 **),12/21/1999,5/31/2015,http://lists.w3.org/Archives/Public/w3c-xsl-wg,158,124,10,7,2014
